Date,bvp,High,Low,Open,Volume
,^EMCLOUD,^EMCLOUD,^EMCLOUD,^EMCLOUD,^EMCLOUD
2025-08-29,1723.3172607421875,1740.8699951171875,1713.6199951171875,1732.9200439453125,0
